"site","latitude","longitude","Repellence","Acidity","Physical","met_station_number","Amelioration_Year","GS_BOM","Annual_BOM","all_trial","non_wetting","acidic","physical"
"Kooloonong_chickpea",-34.64,143.56,0,0,2,"BALRANALD (RSL)_049002",2019,199,323.1,"Unmodified_Cl.surface & Control & Rip.50_none & Rip.50_Cl.surface","green","green","red"
"Kooloonong_lentil",-34.64,143.56,0,0,2,"BALRANALD (RSL)_049002",2019,199,323.1,"Control & Unmodified_Cl.surface & Rip.50_Cl.surface & Rip.50_none","green","green","red"
"Kooloonong_lupin",-34.64,143.56,0,0,2,"BALRANALD (RSL)_049002",2019,199,323.1,"Control & Unmodified_Cl.surface & Rip.50_Cl.surface & Rip.50_none","green","green","red"
"Tempy",-35.07,142.31,1,0,2,"OUYEN (POST OFFICE)_076047",2019,211.6,328.4,"Control & Rip.50_none & Rip.50IncRip_none & Rip.50IncRip_Cl.mix & Rip.50_Cl.deep","orange","green","red"
"Wynarka",-35.09,139.9,2,0,2,"KAROONDA_025006",2019,233.6,340.4,"Control & Rip.60IncRip_none & Rip.60IncRip+Spade.30_none & Rip.30_none & Rip.60_none & Rip.60Spade.30_none & Spade.30_none","red","green","red"
"Monia_Gap",-33.49,145.52,0,1,1,"HILLSTON AIRPORT_075032",2019,220.8,369.8,"Spade.30_gypsum.mix & Spade.30_Cl.mix & Rip.60Spade.30_none & Spade.30_Cl.gypsum.mix & Spade.30_none & Control","green","orange","orange"
"Malinong",-35.52,139.51,2,2,2,"COOMANDOOK (MALINONG)_025508",2019,359.5,468.3,"Control & Spade.30_none & DiscInv.30_none & Rip.30_none & Rip.40_none","red","red","red"
"Sherwood",-36.1,140.36,0,0,2,"KEITH_025507",2019,341.3,459.7,"Control & Rip.30_none & Spade.30_none & Rip.30_Fert.surface & Spade.30_Fert.mix","green","green","red"
"Cummins",-34.26,135.73,0,1,2,"CUMMINS_018023",2019,316.7,421,"Control & Rip.30_none & Rip.30IncRip_none & Rip.30IncRip_gypsum.mix","green","orange","red"
"Karkoo",-34.13,135.73,0,0,1,"YEELANNA_018099",2019,316.7,421,"Control & Rip.40_none & Rip.40IncRip_none & Rip.40IncRip_Lc.mix","green","green","orange"
"Buckleboo",-33.14,136.41,0,0,2,"KIMBA_018040",2019,246.9,346.2,"Rip.35_none & Rip.45_none & Rip.45IncRip_none & Rip.45IncRip_Fert.deep & Control","green","green","red"
"Mt_Damper",-32.84,135.15,1,0,1,"MINNIPA AGRICULTURAL CENTRE_018052",2019,242,327.3,"Control & Spade.30_none & Rip.45IncRip_none & Rip.45IncRip+Spade.30_none & Rip.45IncRip_Fert.mix","orange","green","orange"
"Kybunga",-33.84,138.61,1,0,2,"CLARE POST OFFICE_021014",2019,491,633.7,"Control & Rip.30_none & Rip.50_none & Spade.30_none & Rip.50Spade.30_none & Rip.50_Cl.surface & Spade.30_Cl.mix","orange","green","red"
"Warnertown",-33.35,138.1,1,0,2,"NUROM (RIVERSIDE FARM)_021102",2019,355.9,474.1,"DiscInv.30_none & Rip.50_none & Rip.50IncRip_none & Spade.30_none & Rip.30_none & Control","orange","green","red"
"Telopea_Downs",-36.37,140.98,0,0,1,"SERVICETON_078034",2020,371.5,495.5,"Spade.30_clay@250 & Spade.30_clay@500 & Control","green","green","orange"
